Date,Open,High,Low,Close,Volume
2020-01-01 08:00:00,130.31,131.81,129.88,130.73,33731.341178
2020-01-01 12:00:00,130.74,132.36,130.74,132.06,27702.460238
2020-01-01 16:00:00,132.06,133.0,131.61,131.89,25499.896579
2020-01-01 20:00:00,131.89,132.33,129.74,130.68,34542.97179
2020-01-02 00:00:00,130.69,130.72,128.77,129.1,120090.122905
2020-01-02 04:00:00,129.07,129.95,128.7,129.23,37771.829408
2020-01-02 08:00:00,129.21,130.28,129.2,129.57,21222.738853
2020-01-02 12:00:00,129.55,130.0,128.93,129.56,18879.517308
2020-01-02 16:00:00,129.55,129.75,126.44,127.59,115839.576747
2020-01-02 20:00:00,127.59,127.84,126.79,127.15,22172.536289
2020-01-03 00:00:00,127.15,127.59,126.0,126.87,61435.116179
2020-01-03 04:00:00,126.86,130.0,126.84,128.9,71128.942675
2020-01-03 08:00:00,128.9,133.0,128.83,132.44,103325.522946
2020-01-03 12:00:00,132.45,133.91,130.86,132.5,71981.616711
2020-01-03 16:00:00,132.51,134.99,131.93,133.48,67569.482481
2020-01-03 20:00:00,133.45,135.16,132.24,134.44,50470.964668
2020-01-04 00:00:00,134.44,134.82,132.81,133.41,48701.092984
2020-01-04 04:00:00,133.41,134.33,133.02,133.92,47329.398516
2020-01-04 08:00:00,133.94,134.18,133.05,133.78,21130.949601
2020-01-04 12:00:00,133.79,133.79,132.53,133.35,25918.665487
2020-01-04 16:00:00,133.28,135.78,132.82,133.72,44988.400281
2020-01-04 20:00:00,133.7,134.51,133.44,134.19,11262.347804
2020-01-05 00:00:00,134.18,136.27,134.18,136.16,43518.663809
2020-01-05 04:00:00,136.18,137.21,135.64,135.99,40149.020871
2020-01-05 08:00:00,136.04,136.24,134.71,135.11,28653.979155
2020-01-05 12:00:00,135.12,138.05,135.11,137.24,61935.299609
2020-01-05 16:00:00,137.23,138.2,136.7,137.99,38893.366683
2020-01-05 20:00:00,137.99,138.02,134.25,135.4,38811.320512
2020-01-06 00:00:00,135.38,139.85,134.87,139.48,90489.935483
2020-01-06 04:00:00,139.49,139.83,138.55,138.83,30383.927122
2020-01-06 08:00:00,138.83,143.05,138.82,141.51,65874.653086
2020-01-06 12:00:00,141.48,143.08,139.0,140.22,71285.993574
2020-01-06 16:00:00,140.22,141.83,140.05,141.39,25792.286872
2020-01-06 20:00:00,141.39,144.39,141.28,144.1,56384.628486
2020-01-07 00:00:00,144.12,145.34,143.19,143.51,67484.308203
2020-01-07 04:00:00,143.51,143.63,142.2,142.81,49004.40582
2020-01-07 08:00:00,142.83,143.75,142.5,142.61,28147.459363
2020-01-07 12:00:00,142.61,142.61,139.11,139.57,60632.1493
2020-01-07 16:00:00,139.57,144.38,138.83,143.21,88967.084182
2020-01-07 20:00:00,143.17,144.97,141.31,142.8,39321.684815
