type,hedge_threshold,hedge_upgrade,hedge_ratio,hedge_profit,hedge_stop,long_trades,long_invested,long_profit,long_return,short_trades,short_invested,short_profit,short_return,total_profit,total_return
롱 온리,-,-,-,-,-,105,384000,14025.137609470941,3.652379585799724,0,0.0,0.0,0.0,14025.137609470941,3.652379585799724
헷징,2,0,0.5,5,-10,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-121.88466841589269,-0.19044479439983233,13903.252941055049,3.1034046743426447
헷징,2,5,0.5,5,-10,105,384000,14025.137609470941,3.652379585799724,82,147000.0,2443.2321229729373,1.6620626686890732,16468.36973244388,3.1013878968820867
헷징,3,0,0.5,12,-10,105,384000,14025.137609470941,3.652379585799724,51,76500.0,-30.08769849909453,-0.039330324835417686,13995.049910971848,3.0390987863131045
헷징,2,0,0.5,5,-12,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-416.8333125806763,-0.6513020509073068,13608.304296890265,3.0375679234130053
헷징,2,0,0.5,12,-10,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-427.31209906042415,-0.6676751547819127,13597.825510410517,3.0352289085737763
헷징,2,5,0.5,5,-12,105,384000,14025.137609470941,3.652379585799724,82,147000.0,2028.283478808154,1.3797846794613293,16053.421088279096,3.0232431428020896
헷징,2,0,0.5,5,-15,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-734.986181921738,-1.1484159092527155,13290.151427549203,2.96655165793509
헷징,3,0,0.5,8,-10,105,384000,14025.137609470941,3.652379585799724,51,76500.0,-445.07734406424237,-0.5818004497571795,13580.060265406699,2.948981599436851
헷징,2,0,0.5,8,-10,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-838.817083360082,-1.3106516927501284,13186.32052611086,2.9433751174354597
헷징,2,0,0.5,12,-12,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-840.7969804769036,-1.313745281995162,13184.340628994038,2.9429331761147406
헷징,3,0,0.5,10,-10,105,384000,14025.137609470941,3.652379585799724,51,76500.0,-486.8571189676527,-0.6364145345982388,13538.280490503288,2.939908901303646
헷징,3,0,0.5,12,-12,105,384000,14025.137609470941,3.652379585799724,51,76500.0,-486.9536551992019,-0.6365407257505907,13538.183954271739,2.9398879379526033
헷징,2,0,0.5,10,-10,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-867.312099060424,-1.3551751547819124,13157.825510410517,2.93701462285949
헷징,2,0,0.5,5,-20,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-879.2831193114338,-1.3738798739241154,13145.854490159507,2.93434252012489
헷징,2,5,0.5,5,-15,105,384000,14025.137609470941,3.652379585799724,82,147000.0,1530.1306094670924,1.0409051765082262,15555.268218938034,2.9294290431145074
헷징,2,5,0.75,5,-10,105,384000,14025.137609470941,3.652379585799724,82,220500.0,3664.8481844594044,1.6620626686890725,17689.985793930347,2.9263830924615957
헷징,4,0,0.5,8,-12,105,384000,14025.137609470941,3.652379585799724,36,72000.0,-728.5450070356744,-1.0118680653273255,13296.592602435267,2.915919430358611
헷징,4,0,0.5,10,-12,105,384000,14025.137609470941,3.652379585799724,36,72000.0,-802.8989649064054,-1.1151374512588963,13222.238644564535,2.8996137378430995
헷징,4,0,0.5,8,-15,105,384000,14025.137609470941,3.652379585799724,36,72000.0,-834.8338009890018,-1.1594913902625026,13190.30380848194,2.892610484316215
헷징,4,0,0.5,10,-15,105,384000,14025.137609470941,3.652379585799724,36,72000.0,-847.3670082624909,-1.1768986225867928,13177.77060120845,2.889861973949222
헷징,2,0,0.75,5,-10,105,384000,14025.137609470941,3.652379585799724,64,96000.0,-182.82700262383918,-0.19044479439983247,13842.310606847102,2.883814709759813
헷징,2,0,0.5,12,-15,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-1133.6587080697532,-1.7713417313589892,12891.478901401188,2.8775622547770507
헷징,2,0,0.5,8,-12,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-1232.3019647765618,-1.9254718199633778,12792.83564469438,2.85554367069071
헷징,2,5,0.5,5,-20,105,384000,14025.137609470941,3.652379585799724,82,147000.0,1085.8336720773966,0.7386623619574126,15110.971281548338,2.845757303493096
헷징,2,0,0.5,10,-12,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-1280.7969804769032,-2.0012452819951614,12744.340628994038,2.8447188904004546
헷징,3,0,0.5,10,-12,105,384000,14025.137609470941,3.652379585799724,51,76500.0,-943.72307566776,-1.2336249355134117,13081.414533803181,2.8406980529431447
헷징,3,0,0.5,8,-12,105,384000,14025.137609470941,3.652379585799724,51,76500.0,-945.2140929316427,-1.2355739776884218,13079.923516539298,2.840374270692573
헷징,3,0,0.5,5,-10,105,384000,14025.137609470941,3.652379585799724,51,76500.0,-950.5879358069801,-1.2425986088980132,13074.549673663962,2.839207312413455
헷징,2,0,0.5,8,-15,105,384000,14025.137609470941,3.652379585799724,64,64000.0,-1356.0817175746379,-2.1188776837103718,12669.055891896303,2.827914261583996
헷징,2,5,0.75,5,-12,105,384000,14025.137609470941,3.652379585799724,82,220500.0,3042.425218212231,1.3797846794613293,17067.56282768317,2.8234181683512274
헷징,4,0,0.5,8,-20,105,384000,14025.137609470941,3.652379585799724,36,72000.0,-1169.3945438431651,-1.6241590886710626,12855.743065627776,2.8192419003569684
헷징,4,0,0.5,10,-20,105,384000,14025.137609470941,3.652379585799724,36,72000.0,-1181.9277511166547,-1.6415663209953537,12843.209858354287,2.8164933899899753
